order_id,customer_id,country,product,order_date,sales_amount
195,USA_000195,USA,T-Shirt,2024-01-28,196
196,USA_000196,USA,Socks,2024-01-01,197
197,USA_000197,USA,Socks,2024-01-02,198
198,USA_000198,USA,T-Shirt,2024-01-03,199
199,USA_000199,USA,Socks,2024-01-04,200
200,USA_000200,USA,Socks,2024-01-05,1
201,USA_000201,USA,T-Shirt,2024-01-06,2
202,USA_000202,USA,Socks,2024-01-07,3
203,USA_000203,USA,Socks,2024-01-08,4
204,USA_000204,USA,T-Shirt,2024-01-09,5
205,USA_000205,USA,Socks,2024-01-10,6
206,USA_000206,USA,Socks,2024-01-11,7
207,USA_000207,USA,T-Shirt,2024-01-12,8
208,USA_000208,USA,Socks,2024-01-13,9
209,USA_000209,USA,Socks,2024-01-14,10
210,USA_000210,USA,T-Shirt,2024-01-15,11
211,USA_000211,USA,Socks,2024-01-16,12
212,USA_000212,USA,Socks,2024-01-17,13
213,USA_000213,USA,T-Shirt,2024-01-18,14
214,USA_000214,USA,Socks,2024-01-19,15
215,USA_000215,USA,Socks,2024-01-20,16
216,USA_000216,USA,T-Shirt,2024-01-21,17
217,USA_000217,USA,Socks,2024-01-22,18
218,USA_000218,USA,Socks,2024-01-23,19
219,USA_000219,USA,T-Shirt,2024-01-24,20
220,USA_000220,USA,Socks,2024-01-25,21
221,USA_000221,USA,Socks,2024-01-26,22
222,USA_000222,USA,T-Shirt,2024-01-27,23
223,USA_000223,USA,Socks,2024-01-28,24
224,USA_000224,USA,Socks,2024-01-01,25
225,USA_000225,USA,T-Shirt,2024-01-02,26
226,USA_000226,USA,Socks,2024-01-03,27
227,USA_000227,USA,Socks,2024-01-04,28
228,USA_000228,USA,T-Shirt,2024-01-05,29
229,USA_000229,USA,Socks,2024-01-06,30
230,USA_000230,USA,Socks,2024-01-07,31
231,USA_000231,USA,T-Shirt,2024-01-08,32
232,USA_000232,USA,Socks,2024-01-09,33
233,USA_000233,USA,Socks,2024-01-10,34
234,USA_000234,USA,T-Shirt,2024-01-11,35
235,USA_000235,USA,Socks,2024-01-12,36
236,USA_000236,USA,Socks,2024-01-13,37
237,USA_000237,USA,T-Shirt,2024-01-14,38
238,USA_000238,USA,Socks,2024-01-15,39
239,USA_000239,USA,Socks,2024-01-16,40
240,USA_000240,USA,T-Shirt,2024-01-17,41
241,USA_000241,USA,Socks,2024-01-18,42
242,USA_000242,USA,Socks,2024-01-19,43
243,USA_000243,USA,T-Shirt,2024-01-20,44
244,USA_000244,USA,Socks,2024-01-21,45
245,USA_000245,USA,Socks,2024-01-22,46
246,USA_000246,USA,T-Shirt,2024-01-23,47
247,USA_000247,USA,Socks,2024-01-24,48
248,USA_000248,USA,Socks,2024-01-25,49
249,USA_000249,USA,T-Shirt,2024-01-26,50
250,USA_000250,USA,Socks,2024-01-27,51
251,USA_000251,USA,Socks,2024-01-28,52
252,USA_000252,USA,T-Shirt,2024-01-01,53
253,USA_000253,USA,Socks,2024-01-02,54
254,USA_000254,USA,Socks,2024-01-03,55
255,USA_000255,USA,T-Shirt,2024-01-04,56
256,USA_000256,USA,Socks,2024-01-05,57
257,USA_000257,USA,Socks,2024-01-06,58
258,USA_000258,USA,T-Shirt,2024-01-07,59
259,USA_000259,USA,Socks,2024-01-08,60
260,USA_000260,USA,Socks,2024-01-09,61
261,USA_000261,USA,T-Shirt,2024-01-10,62
262,USA_000262,USA,Socks,2024-01-11,63
263,USA_000263,USA,Socks,2024-01-12,64
264,USA_000264,USA,T-Shirt,2024-01-13,65
265,USA_000265,USA,Socks,2024-01-14,66
266,USA_000266,USA,Socks,2024-01-15,67
267,USA_000267,USA,T-Shirt,2024-01-16,68
268,USA_000268,USA,Socks,2024-01-17,69
269,USA_000269,USA,Socks,2024-01-18,70
270,USA_000270,USA,T-Shirt,2024-01-19,71
271,USA_000271,USA,Socks,2024-01-20,72
272,USA_000272,USA,Socks,2024-01-21,73
273,USA_000273,USA,T-Shirt,2024-01-22,74
274,USA_000274,USA,Socks,2024-01-23,75
275,USA_000275,USA,Socks,2024-01-24,76
276,USA_000276,USA,T-Shirt,2024-01-25,77
277,USA_000277,USA,Socks,2024-01-26,78
278,USA_000278,USA,Socks,2024-01-27,79
279,USA_000279,USA,T-Shirt,2024-01-28,80
280,USA_000280,USA,Socks,2024-01-01,81
281,USA_000281,USA,Socks,2024-01-02,82
282,USA_000282,USA,T-Shirt,2024-01-03,83
283,USA_000283,USA,Socks,2024-01-04,84
284,USA_000284,USA,Socks,2024-01-05,85
285,USA_000285,USA,T-Shirt,2024-01-06,86
286,USA_000286,USA,Socks,2024-01-07,87
287,USA_000287,USA,Socks,2024-01-08,88
288,USA_000288,USA,T-Shirt,2024-01-09,89
289,USA_000289,USA,Socks,2024-01-10,90
290,USA_000290,USA,Socks,2024-01-11,91
291,USA_000291,USA,T-Shirt,2024-01-12,92
292,USA_000292,USA,Socks,2024-01-13,93
293,USA_000293,USA,Socks,2024-01-14,94
294,USA_000294,USA,T-Shirt,2024-01-15,95
295,USA_000295,USA,Socks,2024-01-16,96
296,USA_000296,USA,Socks,2024-01-17,97
297,USA_000297,USA,T-Shirt,2024-01-18,98
298,USA_000298,USA,Socks,2024-01-19,99
299,USA_000299,USA,Socks,2024-01-20,100
300,USA_000300,USA,T-Shirt,2024-01-21,101
301,USA_000301,USA,Socks,2024-01-22,102
302,USA_000302,USA,Socks,2024-01-23,103
303,USA_000303,USA,T-Shirt,2024-01-24,104
304,USA_000304,USA,Socks,2024-01-25,105
305,USA_000305,USA,Socks,2024-01-26,106
306,USA_000306,USA,T-Shirt,2024-01-27,107
307,USA_000307,USA,Socks,2024-01-28,108
308,USA_000308,USA,Socks,2024-01-01,109
309,USA_000309,USA,T-Shirt,2024-01-02,110
310,USA_000310,USA,Socks,2024-01-03,111
311,USA_000311,USA,Socks,2024-01-04,112
312,USA_000312,USA,T-Shirt,2024-01-05,113
313,USA_000313,USA,Socks,2024-01-06,114
314,USA_000314,USA,Socks,2024-01-07,115
315,USA_000315,USA,T-Shirt,2024-01-08,116
316,USA_000316,USA,Socks,2024-01-09,117
317,USA_000317,USA,Socks,2024-01-10,118
318,USA_000318,USA,T-Shirt,2024-01-11,119
319,USA_000319,USA,Socks,2024-01-12,120
320,USA_000320,USA,Socks,2024-01-13,121
321,USA_000321,USA,T-Shirt,2024-01-14,122
322,USA_000322,USA,Socks,2024-01-15,123
323,USA_000323,USA,Socks,2024-01-16,124
324,USA_000324,USA,T-Shirt,2024-01-17,125
325,USA_000325,USA,Socks,2024-01-18,126
326,USA_000326,USA,Socks,2024-01-19,127
327,USA_000327,USA,T-Shirt,2024-01-20,128
328,USA_000328,USA,Socks,2024-01-21,129
329,USA_000329,USA,Socks,2024-01-22,130
330,USA_000330,USA,T-Shirt,2024-01-23,131
331,USA_000331,USA,Socks,2024-01-24,132
332,USA_000332,USA,Socks,2024-01-25,133
333,USA_000333,USA,T-Shirt,2024-01-26,134
334,USA_000334,USA,Socks,2024-01-27,135
335,USA_000335,USA,Socks,2024-01-28,136
336,USA_000336,USA,T-Shirt,2024-01-01,137
337,USA_000337,USA,Socks,2024-01-02,138
338,USA_000338,USA,Socks,2024-01-03,139
339,USA_000339,USA,T-Shirt,2024-01-04,140
340,USA_000340,USA,Socks,2024-01-05,141
341,USA_000341,USA,Socks,2024-01-06,142
342,USA_000342,USA,T-Shirt,2024-01-07,143
343,USA_000343,USA,Socks,2024-01-08,144
344,USA_000344,USA,Socks,2024-01-09,145
345,USA_000345,USA,T-Shirt,2024-01-10,146
346,USA_000346,USA,Socks,2024-01-11,147
347,USA_000347,USA,Socks,2024-01-12,148
348,USA_000348,USA,T-Shirt,2024-01-13,149
349,USA_000349,USA,Socks,2024-01-14,150
350,USA_000350,USA,Socks,2024-01-15,151
351,USA_000351,USA,T-Shirt,2024-01-16,152
352,USA_000352,USA,Socks,2024-01-17,153
353,USA_000353,USA,Socks,2024-01-18,154
354,USA_000354,USA,T-Shirt,2024-01-19,155
355,USA_000355,USA,Socks,2024-01-20,156
356,USA_000356,USA,Socks,2024-01-21,157
357,USA_000357,USA,T-Shirt,2024-01-22,158
358,USA_000358,USA,Socks,2024-01-23,159
359,USA_000359,USA,Socks,2024-01-24,160
360,USA_000360,USA,T-Shirt,2024-01-25,161
361,USA_000361,USA,Socks,2024-01-26,162
362,USA_000362,USA,Socks,2024-01-27,163
363,USA_000363,USA,T-Shirt,2024-01-28,164
364,USA_000364,USA,Socks,2024-01-01,165
365,USA_000365,USA,Socks,2024-01-02,166
366,USA_000366,USA,T-Shirt,2024-01-03,167
367,USA_000367,USA,Socks,2024-01-04,168
368,USA_000368,USA,Socks,2024-01-05,169
369,USA_000369,USA,T-Shirt,2024-01-06,170
370,USA_000370,USA,Socks,2024-01-07,171
371,USA_000371,USA,Socks,2024-01-08,172
372,USA_000372,USA,T-Shirt,2024-01-09,173
373,USA_000373,USA,Socks,2024-01-10,174
374,USA_000374,USA,Socks,2024-01-11,175
375,USA_000375,USA,T-Shirt,2024-01-12,176
376,USA_000376,USA,Socks,2024-01-13,177
377,USA_000377,USA,Socks,2024-01-14,178
378,USA_000378,USA,T-Shirt,2024-01-15,179
379,USA_000379,USA,Socks,2024-01-16,180
380,USA_000380,USA,Socks,2024-01-17,181
381,USA_000381,USA,T-Shirt,2024-01-18,182
382,USA_000382,USA,Socks,2024-01-19,183
383,USA_000383,USA,Socks,2024-01-20,184
384,USA_000384,USA,T-Shirt,2024-01-21,185
385,USA_000385,USA,Socks,2024-01-22,186
386,USA_000386,USA,Socks,2024-01-23,187
387,USA_000387,USA,T-Shirt,2024-01-24,188
388,USA_000388,USA,Socks,2024-01-25,189
389,USA_000389,USA,Socks,2024-01-26,190
390,USA_000390,USA,T-Shirt,2024-01-27,191
391,USA_000391,USA,Socks,2024-01-28,192
392,USA_000392,USA,Socks,2024-01-01,193
393,USA_000393,USA,T-Shirt,2024-01-02,194
394,USA_000394,USA,Socks,2024-01-03,195
395,USA_000395,USA,Socks,2024-01-04,196
396,USA_000396,USA,T-Shirt,2024-01-05,197
397,USA_000397,USA,Socks,2024-01-06,198
398,USA_000398,USA,Socks,2024-01-07,199
399,USA_000399,USA,T-Shirt,2024-01-08,200
400,USA_000400,USA,Socks,2024-01-09,1
401,USA_000401,USA,Socks,2024-01-10,2
402,USA_000402,USA,T-Shirt,2024-01-11,3
403,USA_000403,USA,Socks,2024-01-12,4
404,USA_000404,USA,Socks,2024-01-13,5
405,USA_000405,USA,T-Shirt,2024-01-14,6
406,USA_000406,USA,Socks,2024-01-15,7
407,USA_000407,USA,Socks,2024-01-16,8
408,USA_000408,USA,T-Shirt,2024-01-17,9
409,USA_000409,USA,Socks,2024-01-18,10
410,USA_000410,USA,Socks,2024-01-19,11
411,USA_000411,USA,T-Shirt,2024-01-20,12
412,USA_000412,USA,Socks,2024-01-21,13
413,USA_000413,USA,Socks,2024-01-22,14
414,USA_000414,USA,T-Shirt,2024-01-23,15
415,USA_000415,USA,Socks,2024-01-24,16
416,USA_000416,USA,Socks,2024-01-25,17
417,USA_000417,USA,T-Shirt,2024-01-26,18
418,USA_000418,USA,Socks,2024-01-27,19
419,USA_000419,USA,Socks,2024-01-28,20
420,USA_000420,USA,T-Shirt,2024-01-01,21
421,USA_000421,USA,Socks,2024-01-02,22
422,USA_000422,USA,Socks,2024-01-03,23
423,USA_000423,USA,T-Shirt,2024-01-04,24
424,USA_000424,USA,Socks,2024-01-05,25
425,USA_000425,USA,Socks,2024-01-06,26
426,USA_000426,USA,T-Shirt,2024-01-07,27
427,USA_000427,USA,Socks,2024-01-08,28
428,USA_000428,USA,Socks,2024-01-09,29
429,USA_000429,USA,T-Shirt,2024-01-10,30
430,USA_000430,USA,Socks,2024-01-11,31
431,USA_000431,USA,Socks,2024-01-12,32
432,USA_000432,USA,T-Shirt,2024-01-13,33
433,USA_000433,USA,Socks,2024-01-14,34
434,USA_000434,USA,Socks,2024-01-15,35
435,USA_000435,USA,T-Shirt,2024-01-16,36
436,USA_000436,USA,Socks,2024-01-17,37
437,USA_000437,USA,Socks,2024-01-18,38
438,USA_000438,USA,T-Shirt,2024-01-19,39
439,USA_000439,USA,Socks,2024-01-20,40
440,USA_000440,USA,Socks,2024-01-21,41
441,USA_000441,USA,T-Shirt,2024-01-22,42
442,USA_000442,USA,Socks,2024-01-23,43
443,USA_000443,USA,Socks,2024-01-24,44
444,USA_000444,USA,T-Shirt,2024-01-25,45
445,USA_000445,USA,Socks,2024-01-26,46
446,USA_000446,USA,Socks,2024-01-27,47
447,USA_000447,USA,T-Shirt,2024-01-28,48
448,USA_000448,USA,Socks,2024-01-01,49
449,USA_000449,USA,Socks,2024-01-02,50
450,USA_000450,USA,T-Shirt,2024-01-03,51
451,USA_000451,USA,Socks,2024-01-04,52
452,USA_000452,USA,Socks,2024-01-05,53
453,USA_000453,USA,T-Shirt,2024-01-06,54
454,USA_000454,USA,Socks,2024-01-07,55
455,USA_000455,USA,Socks,2024-01-08,56
456,USA_000456,USA,T-Shirt,2024-01-09,57
457,USA_000457,USA,Socks,2024-01-10,58
458,USA_000458,USA,Socks,2024-01-11,59
459,USA_000459,USA,T-Shirt,2024-01-12,60
460,USA_000460,USA,Socks,2024-01-13,61
461,USA_000461,USA,Socks,2024-01-14,62
462,USA_000462,USA,T-Shirt,2024-01-15,63
463,USA_000463,USA,Socks,2024-01-16,64
464,USA_000464,USA,Socks,2024-01-17,65
465,USA_000465,USA,T-Shirt,2024-01-18,66
466,USA_000466,USA,Socks,2024-01-19,67
467,USA_000467,USA,Socks,2024-01-20,68
468,USA_000468,USA,T-Shirt,2024-01-21,69
469,USA_000469,USA,Socks,2024-01-22,70
470,USA_000470,USA,Socks,2024-01-23,71
471,USA_000471,USA,T-Shirt,2024-01-24,72
472,USA_000472,USA,Socks,2024-01-25,73
473,USA_000473,USA,Socks,2024-01-26,74
474,USA_000474,USA,T-Shirt,2024-01-27,75
475,USA_000475,USA,Socks,2024-01-28,76
476,USA_000476,USA,Socks,2024-01-01,77
477,USA_000477,USA,T-Shirt,2024-01-02,78
478,USA_000478,USA,Socks,2024-01-03,79
479,USA_000479,USA,Socks,2024-01-04,80
480,USA_000480,USA,T-Shirt,2024-01-05,81
481,USA_000481,USA,Socks,2024-01-06,82
482,USA_000482,USA,Socks,2024-01-07,83
483,USA_000483,USA,T-Shirt,2024-01-08,84
484,USA_000484,USA,Socks,2024-01-09,85
485,USA_000485,USA,Socks,2024-01-10,86
486,USA_000486,USA,T-Shirt,2024-01-11,87
487,USA_000487,USA,Socks,2024-01-12,88
488,USA_000488,USA,Socks,2024-01-13,89
489,USA_000489,USA,T-Shirt,2024-01-14,90
490,USA_000490,USA,Socks,2024-01-15,91
491,USA_000491,USA,Socks,2024-01-16,92
492,USA_000492,USA,T-Shirt,2024-01-17,93
493,USA_000493,USA,Socks,2024-01-18,94
494,USA_000494,USA,Socks,2024-01-19,95
495,USA_000495,USA,T-Shirt,2024-01-20,96
496,USA_000496,USA,Socks,2024-01-21,97
497,USA_000497,USA,Socks,2024-01-22,98
498,USA_000498,USA,T-Shirt,2024-01-23,99
499,USA_000499,USA,Socks,2024-01-24,100
500,USA_000500,USA,Socks,2024-01-25,101
501,USA_000501,USA,T-Shirt,2024-01-26,102
502,USA_000502,USA,Socks,2024-01-27,103
503,USA_000503,USA,Socks,2024-01-28,104
504,USA_000504,USA,T-Shirt,2024-01-01,105
505,USA_000505,USA,Socks,2024-01-02,106
506,USA_000506,USA,Socks,2024-01-03,107
507,USA_000507,USA,T-Shirt,2024-01-04,108
508,USA_000508,USA,Socks,2024-01-05,109
509,USA_000509,USA,Socks,2024-01-06,110
510,USA_000510,USA,T-Shirt,2024-01-07,111
511,USA_000511,USA,Socks,2024-01-08,112
512,USA_000512,USA,Socks,2024-01-09,113
513,USA_000513,USA,T-Shirt,2024-01-10,114
514,USA_000514,USA,Socks,2024-01-11,115
515,USA_000515,USA,Socks,2024-01-12,116
516,USA_000516,USA,T-Shirt,2024-01-13,117
517,USA_000517,USA,Socks,2024-01-14,118
518,USA_000518,USA,Socks,2024-01-15,119
519,USA_000519,USA,T-Shirt,2024-01-16,120
520,USA_000520,USA,Socks,2024-01-17,121
521,USA_000521,USA,Socks,2024-01-18,122
522,USA_000522,USA,T-Shirt,2024-01-19,123
523,USA_000523,USA,Socks,2024-01-20,124
524,USA_000524,USA,Socks,2024-01-21,125
525,USA_000525,USA,T-Shirt,2024-01-22,126
526,USA_000526,USA,Socks,2024-01-23,127
527,USA_000527,USA,Socks,2024-01-24,128
528,USA_000528,USA,T-Shirt,2024-01-25,129
529,USA_000529,USA,Socks,2024-01-26,130
530,USA_000530,USA,Socks,2024-01-27,131
531,USA_000531,USA,T-Shirt,2024-01-28,132
532,USA_000532,USA,Socks,2024-01-01,133
533,USA_000533,USA,Socks,2024-01-02,134
534,USA_000534,USA,T-Shirt,2024-01-03,135
535,USA_000535,USA,Socks,2024-01-04,136
536,USA_000536,USA,Socks,2024-01-05,137
537,USA_000537,USA,T-Shirt,2024-01-06,138
538,USA_000538,USA,Socks,2024-01-07,139
539,USA_000539,USA,Socks,2024-01-08,140
540,USA_000540,USA,T-Shirt,2024-01-09,141
541,USA_000541,USA,Socks,2024-01-10,142
542,USA_000542,USA,Socks,2024-01-11,143
543,USA_000543,USA,T-Shirt,2024-01-12,144
544,USA_000544,USA,Socks,2024-01-13,145
545,USA_000545,USA,Socks,2024-01-14,146
546,USA_000546,USA,T-Shirt,2024-01-15,147
547,USA_000547,USA,Socks,2024-01-16,148
548,USA_000548,USA,Socks,2024-01-17,149
549,USA_000549,USA,T-Shirt,2024-01-18,150
550,USA_000550,USA,Socks,2024-01-19,151
551,USA_000551,USA,Socks,2024-01-20,152
552,USA_000552,USA,T-Shirt,2024-01-21,153
553,USA_000553,USA,Socks,2024-01-22,154
554,USA_000554,USA,Socks,2024-01-23,155
555,USA_000555,USA,T-Shirt,2024-01-24,156
556,USA_000556,USA,Socks,2024-01-25,157
557,USA_000557,USA,Socks,2024-01-26,158
558,USA_000558,USA,T-Shirt,2024-01-27,159
